City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kruisfontein,-34.0,24.73,55.99,76,100,20.98,ZA,1596549601
Bagé,-31.33,-54.11,68.0,72,0,11.41,BR,1596549602
Rome,43.21,-75.46,68.0,94,90,11.41,US,1596549340
Neuquén,-38.95,-68.06,39.2,93,98,2.24,AR,1596549560
Port Elizabeth,-33.92,25.57,57.2,82,75,29.97,ZA,1596549603
Ngunguru,-35.62,174.5,50.0,3,82,5.01,NZ,1596549603
Sola,-13.88,167.55,76.57,86,96,20.42,VU,1596549604
Kabalo,-6.05,26.92,100.08,16,3,2.24,CD,1596549604
Kununurra,-15.77,128.73,68.0,69,99,5.82,AU,1596549604
Rivadavia,-33.19,-68.46,60.8,38,100,4.7,AR,1596549605
Asău,46.43,26.4,84.2,37,0,17.22,RO,1596549605
Concepción,-36.83,-73.05,53.6,100,90,4.7,CL,1596549606
Kokopo,-4.35,152.26,79.07,82,100,10.0,PG,1596549607
New Norfolk,-42.78,147.06,46.0,80,100,7.0,AU,1596549608
Hermanus,-34.42,19.23,53.01,65,85,3.0,ZA,1596549608
Constitución,-35.33,-72.42,57.63,74,52,1.66,CL,1596549342
Port Hedland,-20.32,118.57,66.2,63,1,11.41,AU,1596549609
Atuona,-9.8,-139.03,78.26,73,1,20.02,PF,1596549306
Port Macquarie,-31.43,152.92,46.99,96,91,5.66,AU,1596549525
Rawson,-43.3,-65.1,49.91,50,0,17.43,AR,1596549610
Diamantino,-14.41,-56.45,89.37,24,0,7.14,BR,1596549610
Soyo,-6.13,12.37,78.8,69,75,8.05,AO,1596549611
Ribas do Rio Pardo,-20.44,-53.76,81.82,26,0,13.69,BR,1596549611
Castro,-24.79,-50.01,63.57,61,0,5.57,BR,1596549611
Moche,-8.17,-79.01,62.89,74,10,5.28,PE,1596549612
East London,-33.02,27.91,62.6,72,20,29.97,ZA,1596549612
Yulara,-25.24,130.99,64.4,20,85,3.36,AU,1596549613
Mar del Plata,-38.0,-57.56,60.8,82,53,3.36,AR,1596549613
Honiara,-9.43,159.95,73.4,94,20,2.24,SB,1596549450
George Town,5.41,100.34,86.0,79,20,3.36,MY,1596549540
Northam,51.03,-4.22,64.99,79,100,8.99,GB,1596549614
Port Moresby,-9.44,147.18,77.0,94,75,17.22,PG,1596549615
Taltal,-25.4,-70.48,60.94,60,27,1.95,CL,1596549615
Ahipara,-35.17,173.17,52.68,90,68,2.21,NZ,1596549616
Kismayo,-0.36,42.55,78.66,78,81,20.38,SO,1596549616
São João da Barra,-21.64,-41.05,73.4,64,75,5.03,BR,1596549616
Saldanha,-33.01,17.94,55.4,66,40,14.99,ZA,1596549617
San Rafael,-34.62,-68.33,59.83,38,100,9.93,AR,1596549617
Charagua,-19.8,-63.22,78.85,34,0,15.01,BO,1596549617
Hualmay,-11.1,-77.61,61.05,74,58,5.88,PE,1596549618
Santa Rosa de Viterbo,-21.47,-47.36,68.0,45,0,9.17,BR,1596549618
Sinjai,-5.12,120.25,74.61,89,90,4.14,ID,1596549619
Souillac,-20.52,57.52,69.8,64,75,14.99,MU,1596549620
Chinsali,-10.54,32.08,77.9,33,62,5.08,ZM,1596549620
Orán,-23.13,-64.33,72.0,59,0,1.45,AR,1596549620
Goroka,-6.08,145.39,60.57,88,98,1.23,PG,1596549621
Kawalu,-7.38,108.21,71.55,88,91,2.71,ID,1596549622
Mossamedes,-15.2,12.15,73.4,73,90,11.41,AO,1596549622
Inhambane,-23.86,35.38,77.0,47,20,11.41,MZ,1596549622
Chui,-33.7,-53.46,66.52,77,0,6.26,UY,1596549623
Córdoba,-31.41,-64.18,69.01,49,0,12.75,AR,1596549623
Winburg,-28.52,27.01,68.97,20,0,10.02,ZA,1596549623
Saint-Philippe,-21.36,55.77,69.8,73,75,24.16,RE,1596549624
Martapura,-3.42,114.85,78.8,88,90,4.7,ID,1596549625
Ushuaia,-54.8,-68.3,44.6,48,40,14.99,AR,1596549625
Sechura,-5.56,-80.82,64.31,74,24,9.44,PE,1596549626
Salinas,36.68,-121.66,62.6,82,90,8.05,US,1596549337
Hoopstad,-27.83,25.91,72.7,17,0,9.46,ZA,1596549626
Mvomero,-6.25,38.67,84.2,62,20,19.46,TZ,1596549627
Bredasdorp,-34.53,20.04,55.4,58,97,14.99,ZA,1596549627
Mapiri,-15.25,-68.17,77.85,42,0,0.25,BO,1596549628
Burnie,-41.07,145.92,46.99,71,92,24.0,AU,1596549628
Puerto Ayora,-0.74,-90.35,66.99,99,100,1.99,EC,1596549277
Río Gallegos,-51.62,-69.22,37.4,59,43,13.87,AR,1596549629
Hastings,50.86,0.57,70.0,60,95,23.04,GB,1596549629
Djambala,-2.54,14.75,85.15,40,50,5.26,CG,1596549630
Santarém,-2.44,-54.71,89.33,49,0,5.64,BR,1596549630
Lorengau,-2.02,147.27,82.18,81,100,12.71,PG,1596549631
Busselton,-33.65,115.33,55.0,73,56,14.25,AU,1596549632
Pisco,-13.7,-76.22,61.0,82,90,4.7,PE,1596549632
Tocopilla,-22.09,-70.2,62.49,51,32,1.52,CL,1596549633
San Cristobal,7.77,-72.22,82.4,58,40,23.04,VE,1596549633
Waipawa,-41.41,175.52,55.4,82,88,19.46,NZ,1596549634
Barão de Melgaço,-16.19,-55.97,82.4,32,0,5.82,BR,1596549634
Viedma,-40.81,-63.0,55.99,54,62,7.0,AR,1596549635
Port Lincoln,-34.73,135.87,50.25,69,0,18.95,AU,1596549635
Caravelas,-17.71,-39.25,73.27,73,58,7.99,BR,1596549635
Kirakira,-10.45,161.92,79.45,84,79,8.28,SB,1596549636
Quelimane,-17.88,36.89,82.4,54,0,3.36,MZ,1596549636
Tautira,-17.73,-149.15,73.4,83,20,3.36,PF,1596549636
Elliot,-31.33,27.85,66.36,24,0,16.37,ZA,1596549637
Vila Velha,-20.33,-40.29,66.2,93,40,3.36,BR,1596549637
Padang,-0.95,100.35,78.37,70,100,4.18,ID,1596549620
Florianópolis,-27.61,-48.5,71.01,77,0,9.17,BR,1596549638
São Manuel,-22.73,-48.57,71.01,48,0,5.01,BR,1596549638
Punta Arenas,-53.15,-70.92,39.2,60,75,14.99,CL,1596549639
Kalianget,-7.05,113.93,79.39,79,62,10.58,ID,1596549639
Kawerau,-38.1,176.7,44.01,98,18,3.0,NZ,1596549640
Hithadhoo,-0.6,73.08,82.47,77,53,10.96,MV,1596549641
Apucarana,-23.55,-51.46,72.0,59,0,5.82,BR,1596549641
Senanga,-16.12,23.27,85.64,15,0,2.82,ZM,1596549642
Senador Pompeu,-5.59,-39.37,86.5,35,51,10.65,BR,1596549642
Coracora,-15.03,-73.78,60.84,30,0,3.22,PE,1596549643
Camaná,-16.62,-72.71,60.93,68,77,5.84,PE,1596549643
Port-Gentil,-0.72,8.78,84.2,62,40,9.17,GA,1596549644
Hobart,-42.88,147.33,48.2,76,75,26.4,AU,1596549604
Francistown,-21.17,27.51,77.0,22,20,9.17,BW,1596549645
Isangel,-19.55,169.27,68.2,67,94,5.53,VU,1596549645
Comodoro Rivadavia,-45.87,-67.5,46.4,57,0,9.17,AR,1596549645
Nova Venécia,-18.71,-40.4,76.19,55,24,9.82,BR,1596549646
Bambous Virieux,-20.34,57.76,69.8,64,75,14.99,MU,1596549646
Harper,4.38,-7.72,78.6,62,61,7.43,LR,1596549647
Bambanglipuro,-7.95,110.28,73.92,89,35,5.68,ID,1596549641
Linhares,-19.39,-40.07,73.92,66,51,9.42,BR,1596549648
Vila,42.03,-8.16,88.0,22,56,8.01,PT,1596549648
Kanungu,-0.96,29.79,79.41,32,96,1.32,UG,1596549649
Utete,-7.99,38.76,83.39,50,23,12.48,TZ,1596549649
Santana do Ipanema,-9.38,-37.25,80.67,50,75,15.1,BR,1596549649
Henties Bay,-22.12,14.28,57.99,85,0,1.01,NA,1596549650
Mount Isa,-20.73,139.5,55.4,35,0,3.36,AU,1596549651
Bengkulu,-3.8,102.27,75.58,91,100,10.78,ID,1596549651
Kyabram,-36.32,145.05,42.01,85,0,1.01,AU,1596549651
Kiama,-34.68,150.87,48.99,53,0,11.99,AU,1596549651
City of San Pedro,14.35,121.02,82.99,83,100,5.82,PH,1596549652
Moerai,-22.43,-151.33,70.02,64,100,6.6,PF,1596549652
Hong Kong,22.29,114.16,81.0,88,40,9.17,HK,1596549303
Kaitangata,-46.28,169.85,48.99,81,100,4.45,NZ,1596549653
Alice Springs,-23.7,133.88,60.8,21,0,8.12,AU,1596549521
Rikitea,-23.12,-134.97,73.27,89,79,14.38,PF,1596549653
Vaini,-21.2,-175.2,66.2,93,20,3.36,TO,1596549654
Cape Town,-33.93,18.42,55.0,62,75,17.22,ZA,1596549620
Esperance,-33.87,121.9,50.0,100,90,5.82,AU,1596549654
Sambava,-14.27,50.17,73.31,71,72,18.97,MG,1596549656
Broken Hill,-31.95,141.43,39.2,35,0,6.93,AU,1596549656
Sumbe,-11.21,13.84,78.8,66,20,10.29,AO,1596549656
Pimentel,-6.84,-79.93,60.8,82,93,12.75,PE,1596549657
Kaoma,-14.78,24.8,87.35,17,0,1.59,ZM,1596549657
Itaituba,-4.28,-55.98,87.8,62,0,3.0,BR,1596549657
Panguna,-6.32,155.48,68.79,97,100,2.46,PG,1596549658
Jamestown,42.1,-79.24,68.0,93,90,5.82,US,1596549658
Port Augusta,-32.5,137.77,51.8,50,0,14.99,AU,1596549659
São Félix do Xingu,-6.64,-51.99,88.97,34,98,6.93,BR,1596549659
Port Alfred,-33.59,26.89,61.5,63,93,32.75,ZA,1596549660
Vilcún,-38.65,-72.23,48.2,100,90,4.7,CL,1596549660
Albany,42.6,-73.97,70.0,91,100,0.96,US,1596549661
Madang,-5.22,145.8,78.82,88,100,1.28,PG,1596549661
Cabedelo,-6.98,-34.83,80.6,57,40,17.22,BR,1596549661
São Miguel do Araguaia,-13.28,-50.16,84.81,31,20,12.62,BR,1596549662
Kasane,-17.82,25.15,77.0,27,0,6.93,BW,1596549662
Charters Towers,-20.1,146.27,60.17,91,0,7.38,AU,1596549663
Pangoa,-12.12,-73.0,78.44,48,4,2.28,PE,1596549663
Bolobo,-2.17,16.23,87.51,40,79,3.8,CD,1596549663
Mount Gambier,-37.83,140.77,41.0,80,40,3.36,AU,1596549664
Iquitos,-3.75,-73.25,80.6,78,98,2.28,PE,1596549664
Auki,-8.77,160.7,78.24,85,0,4.38,SB,1596549664
Tuatapere,-46.13,167.68,47.32,90,100,3.22,NZ,1596549665
Waingapu,-9.66,120.26,73.15,84,45,6.26,ID,1596549665
Mataura,-46.19,168.86,45.23,86,100,1.86,NZ,1596549666
Buin,-33.73,-70.75,54.0,93,100,1.03,CL,1596549666
Maués,-3.38,-57.72,91.08,45,26,3.09,BR,1596549666
Grand Gaube,-20.01,57.66,68.0,70,93,10.0,MU,1596549667
Kaputa,-8.47,29.66,82.63,32,0,6.17,ZM,1596549667
Ancud,-41.87,-73.82,44.01,100,90,1.12,CL,1596549667
Carnarvon,-24.87,113.63,64.4,77,0,14.99,AU,1596549596
Olinda,-8.01,-34.86,82.4,54,40,16.11,BR,1596549668
Mogadishu,2.04,45.34,80.6,69,75,16.11,SO,1596549669
